Feature_ID,Correlacao,Status
591,-0.0126,Podado
592,-0.0438,Podado
593,-0.0126,Podado
594,-0.0219,Podado
595,-0.0400,Podado
596,-0.0126,Podado
597,-0.0253,Podado
598,-0.0126,Podado
599,-0.0126,Podado
600,-0.0126,Podado
601,-0.0179,Podado
602,-0.0126,Podado
603,-0.0126,Podado
604,-0.0126,Podado
605,-0.0179,Podado
606,-0.0126,Podado
607,-0.0179,Podado
608,-0.0126,Podado
609,-0.0219,Podado
610,-0.0310,Podado
611,-0.0126,Podado
612,-0.0179,Podado
613,-0.0126,Podado
614,-0.0526,Podado
615,-0.1305,Podado
616,-0.0126,Podado
617,-0.0126,Podado
618,-0.0126,Podado
619,-0.0405,Podado
620,-0.0126,Podado
621,-0.0283,Podado
622,-0.0126,Podado
623,-0.0126,Podado
624,-0.0126,Podado
625,-0.0126,Podado
626,-0.0126,Podado
627,-0.0126,Podado
628,-0.0253,Podado
629,-0.0379,Podado
630,-0.0126,Podado
631,-0.0219,Podado
632,-0.0219,Podado
633,-0.0179,Podado
634,-0.0179,Podado
635,0.0000,Podado
636,-0.0490,Podado
637,-0.0126,Podado
638,-0.0126,Podado
639,-0.0219,Podado
640,-0.0126,Podado
641,-0.0179,Podado
642,-0.0334,Podado
643,-0.0126,Podado
644,-0.0253,Podado
645,-0.0537,Podado
646,-0.3567,Selecionado
647,-0.0400,Podado
648,-0.0179,Podado
649,-0.0126,Podado
650,-0.0179,Podado
651,-0.0525,Podado
652,-0.0456,Podado
653,-0.0253,Podado
654,-0.0126,Podado
655,-0.0179,Podado
656,-0.0126,Podado
657,-0.0126,Podado
658,-0.0126,Podado
659,-0.0126,Podado
660,-0.0126,Podado
661,-0.0850,Podado
662,-0.0126,Podado
663,-0.0126,Podado
664,-0.0620,Podado
665,-0.0126,Podado
666,-0.0419,Podado
667,-0.0126,Podado
668,-0.0126,Podado
669,-0.0126,Podado
670,-0.0126,Podado
671,-0.1488,Podado
672,-0.0460,Podado
673,-0.0126,Podado
674,-0.0179,Podado
675,-0.0219,Podado
676,-0.0126,Podado
677,-0.0179,Podado
678,-0.0179,Podado
679,-0.0126,Podado
680,-0.0126,Podado
681,-0.2361,Podado
682,-0.0438,Podado
683,-0.0253,Podado
684,-0.0179,Podado
685,-0.0670,Podado
686,-0.0490,Podado
687,-0.0126,Podado
688,-0.0126,Podado
689,-0.0126,Podado
690,-0.0042,Podado
691,-0.0126,Podado
692,-0.0169,Podado
693,-0.0357,Podado
694,-0.0192,Podado
695,-0.0781,Podado
696,-0.0126,Podado
697,-0.0126,Podado
698,-0.0618,Podado
699,-0.0126,Podado
700,-0.0219,Podado
701,-0.0253,Podado
702,-0.0126,Podado
703,-0.0126,Podado
704,-0.0126,Podado
705,-0.0126,Podado
706,-0.0126,Podado
707,-0.0310,Podado
708,-0.0126,Podado
709,-0.0179,Podado
710,-0.0126,Podado
711,-0.0841,Podado
712,-0.1101,Podado
713,-0.0126,Podado
714,-0.0219,Podado
715,-0.0179,Podado
716,-0.0334,Podado
717,-0.0126,Podado
718,-0.0610,Podado
719,-0.0521,Podado
720,-0.0179,Podado
721,-0.0253,Podado
722,-0.0126,Podado
723,-0.0126,Podado
724,-0.0126,Podado
725,-0.0179,Podado
726,-0.0126,Podado
727,-0.0126,Podado
728,-0.1825,Podado
729,-0.0219,Podado
730,-0.0126,Podado
731,-0.0179,Podado
732,-0.0126,Podado
733,-0.0126,Podado
734,-0.0566,Podado
735,-0.0357,Podado
736,-0.0126,Podado
737,-0.0126,Podado
738,-0.1385,Podado
739,-0.0126,Podado
740,-0.0126,Podado
741,-0.0126,Podado
742,-0.0179,Podado
743,-0.0126,Podado
744,-0.0126,Podado
745,-0.0126,Podado
746,-0.0419,Podado
747,-0.0126,Podado
748,-0.0126,Podado
749,-0.0801,Podado
750,-0.0334,Podado
751,-0.0126,Podado
752,-0.0126,Podado
753,-0.0126,Podado
754,-0.0179,Podado
755,-0.0126,Podado
756,-0.0179,Podado
757,-0.0521,Podado
758,-0.0179,Podado
759,-0.0310,Podado
760,-0.0126,Podado
761,-0.0179,Podado
762,-0.0126,Podado
763,-0.0126,Podado
764,-0.0126,Podado
765,-0.0126,Podado
766,-0.0179,Podado
767,-0.0379,Podado
768,-0.0126,Podado
769,-0.0126,Podado
770,-0.0179,Podado
771,-0.0126,Podado
772,-0.0126,Podado
773,-0.0334,Podado
774,-0.0126,Podado
775,-0.0379,Podado
776,-0.0253,Podado
777,-0.0126,Podado
778,-0.0126,Podado
779,-0.0126,Podado
780,-0.0728,Podado
781,-0.0126,Podado
782,-0.0253,Podado
783,-0.0126,Podado
784,-0.2413,Podado
785,-0.0126,Podado
786,-0.0253,Podado
787,-0.0126,Podado
788,-0.0126,Podado
789,-0.0219,Podado
790,-0.1649,Podado
791,-0.0156,Podado
792,-0.0126,Podado
793,-0.0179,Podado
794,-0.0126,Podado
795,-0.0126,Podado
796,-0.1576,Podado
797,-0.0219,Podado
798,-0.0593,Podado
799,-0.0126,Podado
800,-0.0126,Podado
801,-0.0179,Podado
802,-0.0334,Podado
803,-0.0089,Podado
804,-0.0126,Podado
805,-0.0903,Podado
806,-0.0126,Podado
807,-0.0179,Podado
808,-0.0126,Podado
809,-0.0126,Podado
810,-0.0179,Podado
811,-0.0906,Podado
812,-0.0179,Podado
813,-0.0126,Podado
814,-0.1012,Podado
815,-0.0126,Podado
816,-0.0310,Podado
817,-0.0126,Podado
818,-0.0490,Podado
819,-0.0253,Podado
820,-0.0460,Podado
821,-0.0126,Podado
822,-0.0219,Podado
823,-0.0732,Podado
824,-0.0126,Podado
825,-0.0359,Podado
826,-0.0126,Podado
827,-0.0253,Podado
828,-0.0126,Podado
829,-0.0126,Podado
830,-0.0179,Podado
831,-0.0126,Podado
832,-0.0253,Podado
833,-0.0179,Podado
834,-0.0179,Podado
835,-0.0179,Podado
836,-0.0126,Podado
837,-0.0253,Podado
838,-0.0310,Podado
839,-0.0253,Podado
840,-0.1952,Podado
841,-0.0607,Podado
842,-0.0310,Podado
843,-0.0219,Podado
844,-0.0126,Podado
845,-0.0126,Podado
846,-0.0343,Podado
847,-0.0126,Podado
848,-0.0126,Podado
849,-0.0283,Podado
850,-0.0126,Podado
851,-0.0126,Podado
852,-0.0219,Podado
853,-0.0219,Podado
854,-0.0126,Podado
855,-0.0126,Podado
